no,title,link
0, 전 세계 300만 장 판매 '엘든 링' 영화화....스핀오프 게임도 출시 ,http://v.daum.net/v/20250526142612831
1," 반다이남코, '엘든 링' 실사 영화 제작 공식 발표 ",http://v.daum.net/v/20250526134202677
2," 반다이 남코, 'ELDEN RING 밤의 통치자'… 5월 30일 전 세계 동시 발매 ",http://v.daum.net/v/20250213111656347
3," 게임박람회 ‘2025 플레이엑스포’, 22일부터 킨텍스에서 개최 ",http://v.daum.net/v/20250502144200055
4, Producer's advice for gamers who can't beat The First Berserker: Khazan — 'Blame yourself' ,http://v.daum.net/v/20250325161851522
5," 펜타곤게임즈(Pentagon Games), 3인칭 슈팅액션게임 ‘Gunnies’ 사전 출시 ",http://v.daum.net/v/20250115140033403
6," 빅게임스튜디오, 일본 카도카와와 맞손...200억 원 규모 투자 유치 ",http://v.daum.net/v/20240509113456220
7," ""DLC 맛집의 귀환!"" 엘든링, 신규 DLC '황금 나무의 그림자' 출시 예고 ",http://v.daum.net/v/20240222113309453
8," 'D-3' 2024 플레이엑스포, 프로그램-주요 참가사 소개 ",http://v.daum.net/v/20240520193005903
9," 영상출판미디어, '엘든 링' 공식 아트북 한국어판 크라우드 펀딩 진행 ",http://v.daum.net/v/20230418141031217
10," 엘든 링, “DLC에 이어 만화와 소설도 나온다고?” ",http://v.daum.net/v/20240227120007446
11, '엘든 링 ' 전세계 판매량 2천만 장 돌파 ,http://v.daum.net/v/20230222170303550
12," 7개월간의 ‘존버’ 성공, 엘든 링 DLC 곧 나온다 ",http://v.daum.net/v/20230926110004049
13, 들고 다니는건 포기해야...세계서 가장 큰 노트북 만든 커플 ,http://v.daum.net/v/20230225192100056
14, 메타 스코어 97점! 출시 하루 앞둔 '엘든 링' 기대감 최고조 ,http://v.daum.net/v/20220224132106230
15," '엘든 링', 2022년 2월로 출시 연기..11월 비공개 테스트 ",http://v.daum.net/v/20211019172550731
16," '엘든 링', 전 세계 판매량 1,200만 장 돌파 ",http://v.daum.net/v/20220316111507299
17, '엘든 링' 마침내 베일 벗었다..실제 플레이 영상 공개 ,http://v.daum.net/v/20211105013754512
18, 2022년 최대 기대작 '엘든 링' 정식 발매 ,http://v.daum.net/v/20220225122102616
19," '엘든링', 보여준 것도 없는데..게임스컴 어워드 4관왕 '황당' ",http://v.daum.net/v/20210828110401178
20," 프롬소프트의 신작 '엘든 링', 특별 에디션 공개 ",http://v.daum.net/v/20211105113604665
21," '엘든 링', 한국어 패키지 예약 판매 돌입 ",http://v.daum.net/v/20211209104212433
22," '엘든 링', 韓 게임위 등급분류 받았다..청소년 이용불가 ",http://v.daum.net/v/20211008142029443
23, 전세계 관심 모은 더 게임 어워드. 주인공은 예상대로 라스트오브어스 파트2 ,http://v.daum.net/v/20201211123302143
24, Why develop in-house game engines? ,http://v.daum.net/v/20210323163125563
25, 오픈월드로 돌아온 엘든 링..'발컨'도 볕 들 날이 올까요[보편적겜뷰] ,http://v.daum.net/v/20220313070101897
26, USA CONSUMER GOODS MICROSOFT XBOX ,http://v.daum.net/v/20190610113132509
27," MS, 차세대 콘솔 '프로젝트 스칼렛', 60개 신규 타이틀 등 공개 ",http://v.daum.net/v/20190610101200460
28," [이슈] MS, E3서 차세대 콘솔 프로젝트 '스칼렛' 공개..AMD CPU와 DDR6 메모리 채택 ",http://v.daum.net/v/20190610172550150
29," MS, Xbox E3 2019 브리핑에서 신규 콘솔과 타이틀 대거 공개 ",http://v.daum.net/v/20190610135101993
