,query,token,pos
4,전주여행,곳,NNG
5,전주여행,추천,NNG
8,전주여행,추억,NNG
11,전주여행,다양,NNG
13,전주여행,체험,NNG
15,전주여행,감성,NNG
16,전주여행,추억,NNG
17,전주여행,테마,NNG
18,전주여행,박물관,NNG
19,전주여행,유익,NNG
21,전주여행,시간,NNG
23,전주여행,전북,NNP
24,전주여행,전북,NNP
25,전주여행,투어,NNG
26,전주여행,패스,NNG
27,전주여행,통합,NNG
29,전주여행,용권,NNG
30,전주여행,전북,NNP
31,전주여행,핫,NNG
32,전주여행,플,NNG
34,전주여행,여행지,NNG
35,전주여행,다양,NNG
37,전주여행,체험,NNG
38,전주여행,카페이,NNP
39,전주여행,용추,NNG
41,전주여행,필수,NNG
42,전주여행,편안,NNG
46,전주여행,날,NNG
54,전주여행,감사,NNG
66,전주여행,사람,NNG
71,전주여행,호텔,NNG
75,전주여행,가격,NNG
85,전주여행,얼마,NNG
86,전주여행,정도,NNG
94,전주여행,맛집,NNG
98,전주여행,카페,NNG
102,전주여행,추천,NNG
109,전주여행,계획,NNG
114,전주여행,한옥,NNG
115,전주여행,마을,NNG
116,전주여행,근처,NNG
121,전주여행,관련,NNG
122,전주여행,질문,NNG
125,전주여행,계획,NNG
133,전주여행,선택,NNG
141,전주여행,한옥마을,NNP
145,전주여행,자연,NNG
146,전주여행,경관,NNG
149,전주여행,음식,NNG
153,전주여행,동네,NNG
158,전주여행,시간,NNG
167,전주여행,한옥,NNG
168,전주여행,마을,NNG
169,전주여행,근처,NNG
176,전주여행,장소,NNG
179,전주여행,중,NNG
181,전주여행,여학생,NNG
182,전주여행,친구,NNG
184,전주여행,안녕,NNG
191,전주여행,여학생,NNG
194,전주여행,친구,NNG
218,전주여행,일본,NNP
219,전주여행,애니,NNP
227,전주여행,오타쿠,NNP
230,전주여행,갈만,NNG
239,전주여행,부모,NNG
240,전주여행,닝,NNP
243,전주여행,부모,NNG
249,전주여행,명소,NNG
250,전주여행,식당,NNG
251,전주여행,추천,NNG
252,전주여행,부탁,NNG
255,전주여행,한옥마을,NNP
259,전주여행,완산구,NNP
263,전주여행,덕진구,NNP
266,전주여행,추억,NNG
269,전주여행,장소,NNG
276,전주여행,이번,NNG
277,전주여행,주,NNG
278,전주여행,토,NNG
279,전주여행,월,NNG
284,전주여행,여자,NNG
285,전주여행,친구,NNG
290,전주여행,경로,NNG
295,전주여행,토요일,NNG
297,전주여행,비,NNG
302,전주여행,실내,NNG
303,전주여행,데이트,NNG
304,전주여행,가능,NNG
306,전주여행,곳,NNG
312,전주여행,감사,NNG
316,전주여행,숙소,NNG
318,전주여행,한옥,NNG
319,전주여행,마을,NNG
320,전주여행,근처,NNG
325,전주여행,토,NNP
326,전주여행,한옥마을,NNP
327,전주여행,구경,NNG
328,전주여행,후,NNG
333,전주여행,저녁,NNG
336,전주여행,주천,NNG
337,전주여행,산책,NNG
338,전주여행,길,NNG
342,전주여행,한옥,NNG
343,전주여행,마을,NNG
344,전주여행,근처,NNG
346,전주여행,야경,NNG
356,전주여행,일정,NNG
358,전주여행,관심,NNG
361,전주여행,테마,NNG
362,전주여행,사진,NNG
363,전주여행,카페,NNG
364,전주여행,체험,NNG
372,전주여행,추천,NNG
385,전주여행,코스,NNG
386,전주여행,추천,NNG
390,전주여행,영화제,NNG
391,전주여행,기간,NNG
392,전주여행,일정,NNG
403,전주여행,코스,NNG
404,전주여행,추천,NNG
410,전주여행,주목적,NNG
412,전주여행,전주국,NNG
414,전주여행,영화제,NNG
418,전주여행,곳,NNG
435,전주여행,곳,NNG
436,전주여행,알짜배기,NNG
438,전주여행,추천,NNG
443,전주여행,전,NNG
445,전주여행,커플,NNG
450,전주여행,추천,NNG
455,전주여행,숙소,NNG
461,전주여행,거리,NNG
463,전주여행,맛집,NNG
465,전주여행,추천,NNG
470,전주여행,감사,NNG
474,전주여행,한옥마을,NNP
478,전주여행,답변,NNG
480,전주여행,도움,NNG
487,전주여행,한옥마을,NNP
488,전주여행,한옥마을,NNP
489,전주여행,맛집,NNG
492,전주여행,추천,NNG
493,전주여행,추석,NNG
497,전주여행,전,NNG
503,전주여행,그때,NNG
504,전주여행,한옥마을,NNP
507,전주여행,관광지,NNG
510,전주여행,문,NNG
513,전주여행,추석,NNG
514,전주여행,당일,NNG
516,전주여행,문,NNG
522,전주여행,이벤트,NNG
524,전주여행,진행,NNG
529,전주여행,화,NNG
533,전주여행,한국,NNP
534,전주여행,관광공사,NNP
536,전주여행,숙박,NNG
537,전주여행,세일,NNG
538,전주여행,페스타,NNP
539,전주여행,이벤트,NNG
541,전주여행,진행,NNG
547,전주여행,전,NNG
548,전주여행,연령,NNG
549,전주여행,렌트카,NNG
550,전주여행,추천,NNG
551,전주여행,이번,NNG
570,전주여행,전,NNG
571,전주여행,연령,NNG
