,query,No,token,pos
0,전주여행,2,가,VV
1,전주여행,2,볼,EC+VX+ETM
2,전주여행,2,만,NNB
3,전주여행,2,한,XSA+ETM
4,전주여행,2,곳,NNG
5,전주여행,2,추천,NNG
6,전주여행,2,받,VV
7,전주여행,2,아요,EF
8,전주여행,2,추억,NNG
9,전주여행,2,의,JKG
10,전주여행,2,7080,SN
11,전주여행,2,다양,NNG
12,전주여행,2,한,XSA+ETM
13,전주여행,2,체험,NNG
14,전주여행,2,7080,SN
15,전주여행,2,감성,NNG
16,전주여행,2,추억,NNG
17,전주여행,2,테마,NNG
18,전주여행,2,박물관,NNG
19,전주여행,2,유익,NNG
20,전주여행,2,한,XSA+ETM
21,전주여행,2,시간,NNG
22,전주여행,2,2,SN
23,전주여행,2,전북,NNP
24,전주여행,2,전북,NNP
25,전주여행,2,투어,NNG
26,전주여행,2,패스,NNG
27,전주여행,2,통합,NNG
28,전주여행,2,이,JKS
29,전주여행,2,용권,NNG
30,전주여행,2,전북,NNP
31,전주여행,2,핫,NNG
32,전주여행,2,플,NNG
33,전주여행,2,여러,MM
34,전주여행,2,여행지,NNG
35,전주여행,2,다양,NNG
36,전주여행,2,한,XSA+ETM
37,전주여행,2,체험,NNG
38,전주여행,2,카페이,NNP
39,전주여행,2,용추,NNG
40,전주여행,2,가,JKS
41,전주여행,2,필수,NNG
42,전주여행,2,편안,NNG
43,전주여행,2,하,XSA
44,전주여행,2,고,EC
45,전주여행,2,즐거운,VA+ETM
46,전주여행,2,날,NNG
47,전주여행,2,이,JKS
48,전주여행,2,되,VV
49,전주여행,2,시,EP
50,전주여행,2,길,ETN+JKO
51,전주여행,2,바라,VV
52,전주여행,2,겠,EP
53,전주여행,2,습니다,EF
54,전주여행,2,감사,NNG
55,전주여행,2,합니다,XSV+EC
56,전주여행,3,갈려고,VV+EC
57,전주여행,3,하,VX
58,전주여행,3,는데요,EF
59,전주여행,3,!,SF
60,전주여행,3,을,JKO
61,전주여행,3,갈려고,VV+EC
62,전주여행,3,하,VV
63,전주여행,3,는데요,EC
64,전주여행,3,아,VV
65,전주여행,3,는,ETM
66,전주여행,3,사람,NNG
67,전주여행,3,과,JKB
68,전주여행,3,갈려고,VV+EC
69,전주여행,3,하,VV
70,전주여행,3,는데,EC
71,전주여행,3,호텔,NNG
72,전주여행,3,은,JX
73,전주여행,3,좋,VA
74,전주여행,3,은,ETM
75,전주여행,3,가격,NNG
76,전주여행,3,에,JKB
77,전주여행,3,정했,VV+EP
78,전주여행,3,고,EC
79,전주여행,3,음,IC
80,전주여행,3,2,SN
81,전주여행,3,박,NNBC
82,전주여행,3,3,SN
83,전주여행,3,일,NNBC
84,전주여행,3,인데,VCP+EC
85,전주여행,3,얼마,NNG
86,전주여행,3,정도,NNG
87,전주여행,3,갖,VV
88,전주여행,3,고,EC
89,전주여행,3,가,VX
90,전주여행,3,면,EC
91,전주여행,3,좋,VA
92,전주여행,3,을까요,EF
93,전주여행,3,그리고,MAJ
94,전주여행,3,맛집,NNG
95,전주여행,3,같,VA
96,전주여행,3,은,ETM
97,전주여행,3,거,NNB
98,전주여행,3,카페,NNG
99,전주여행,3,같,VA
100,전주여행,3,은,ETM
101,전주여행,3,거,NNB
102,전주여행,3,추천,NNG
103,전주여행,3,해,XSV+EC
104,전주여행,3,주,VX
105,전주여행,3,세요,EP+EF
106,전주여행,3,안녕,IC
107,전주여행,3,하,VV
108,전주여행,3,세요,EP+EF
109,전주여행,3,계획,NNG
110,전주여행,3,중,NNB
111,전주여행,3,이,VCP
112,전주여행,3,시,EP
113,전주여행,3,네요,EF
114,전주여행,3,한옥,NNG
115,전주여행,3,마을,NNG
116,전주여행,3,근처,NNG
117,전주여행,4,1,SN
118,전주여행,4,박,NNBC
119,전주여행,4,2,SN
120,전주여행,4,일,NNBC
121,전주여행,4,관련,NNG
122,전주여행,4,질문,NNG
123,전주여행,4,~,SY
124,전주여행,4,을,JKO
125,전주여행,4,계획,NNG
126,전주여행,4,하,XSV
127,전주여행,4,고,EC
128,전주여행,4,계시,VX
